"カードのタイトル","年","月","日","カードのナンバー","出来事の概要","画像ファイル名","画像情報"
"一年戦争勃発",79,1,3,11,"UC0079年1月3日、ジオン公国が地球連邦政府に対し独立を宣言し、宣戦布告。サイド1、2、4、5のコロニーに奇襲攻撃を行い、NBC兵器の使用により28億人の死者を出す。","No (11)","Scene: Vast expanse of space with multiple space colonies under attack. Atmosphere: Sudden war, shock, destruction. Other: Flashes of explosions and military spacecraft. Composition: Wide panoramic view showing the scale of the initial attack."
"ブリティッシュ作戦と一週間戦争",79,1,4,12,"1月4日、ジオンはサイド2のコロニー「アイランド・イフィッシュ」を地球に落下させる「ブリティッシュ作戦」を開始。この作戦を巡る戦闘は1月10日まで続き、「一週間戦争」と呼ばれる。","No (12)","Scene: A massive space colony descending towards Earth. Atmosphere: Terror, apocalyptic scale of destruction. Vehicles: Earth Federation ships attempting to intercept the falling colony. Composition: Dramatic shot of the colony against the backdrop of Earth."
"ルウム戦役",79,1,15,13,"1月15日から16日、サイド5（ルウム）宙域でルウム戦役が発生。ジオンのモビルスーツ部隊は連邦艦隊に壊滅的な損害を与え、連邦軍総司令官レビル中将が捕虜となる。サイド5も崩壊し、多数の犠牲者が出る。","No (13)","Character: Char Aznable (in his Zaku). Scene: Space battlefield filled with debris and destroyed ships. Atmosphere: Intense combat, Zeon's dominance. Vehicles: Numerous damaged or destroyed Earth Federation warships, Zeon mobile suits in action. Composition: Dynamic shot focusing on a mobile suit engaging warships."
"レビル将軍脱出と「ジオンに兵なし！」演説",79,1,30,14,"1月30日、捕虜となっていたレビル将軍が奇跡的に脱出。サイド6を通じて「ジオンに兵なし！」という有名な演説を行い、地球連邦に徹底抗戦の決意を固めさせる。","No (14)","Character: Revil (middle-aged man, weary but determined, in uniform). Scene: makeshift press conference setting, possibly in Side 6. Atmosphere: Inspiration, rallying cry. Composition: Close-up on Revil's face as he delivers the speech."
"南極条約締結",79,1,31,15,"1月31日、地球連邦とジオンの間で南極条約が締結される。NBC兵器の使用禁止や捕虜の扱いなどが定められたが、休戦交渉は決裂し、戦争は継続される。","No (15)","Scene: Formal meeting room, delegates from both sides sitting at a table. Atmosphere: Diplomatic attempt, fragile peace. Composition: Neutral shot showing representatives signing documents."
"ジオン地球侵攻開始",79,2,7,16,"2月7日、ジオン軍が地球への侵攻を開始。以降、地上での戦闘が本格化する。","No (16)","Scene: Drop pods or mobile suits descending through Earth's atmosphere. Atmosphere: Invasion, new front of war. Composition: Shot from space looking down at Earth with descending forces."
"V作戦・ビンソン計画発動",79,4,1,17,"4月1日、地球連邦軍は新型モビルスーツ開発のための「V作戦」と、失われた艦隊を再建するための「ビンソン計画」を始動する。","No (17)","Scene: Laboratory or research facility, shipbuilding dock. Atmosphere: Strategic shift, counter-offensive preparation. Other: Schematics for Gundam or new ship designs. Composition: Split view showing both R&D and construction efforts."
"宇宙要塞ソロモン完成",79,5,17,18,"5月17日、ジオン軍は宇宙要塞ソロモンを完成させ、ドズル・ザビ中将が司令官に就任。重要拠点として機能する。","No (18)","Scene: Massive space fortress floating in orbit. Atmosphere: Military stronghold, power projection. Vehicles: Numerous Zeon warships docked around the fortress. Composition: Imposing wide shot of the fortress."
"宇宙要塞ア・バオア・クー完成",79,6,30,19,"6月30日、ジオン軍は宇宙要塞ア・バオア・クーを完成させる。ソロモン、グラナダと連携し、ジオン本土防衛線の中核となる。","No (19)","Scene: Another massive space fortress, distinct from Solomon. Atmosphere: Defensive line, last bastion. Vehicles: Zeon forces guarding the area. Composition: Wide shot showing the fortress structure."
"サイド7での遭遇とガンダム起動",79,9,18,20,"9月18日、ジオンのシャア・アズナブル少佐率いる部隊がサイド7を攻撃。避難していた民間人のアムロ・レイが偶然RX-78-2ガンダムに搭乗し、史上初のモビルスーツ同士の戦闘が発生。ホワイトベースはガンダム等を収容し脱出。","No (20)","Character: Amuro Ray (young, panicked but determined, civilian clothes). Scene: Colony interior, damaged area, chaotic. Atmosphere: Sudden attack, fated encounter. Vehicles: RX-78-2 Gundam (iconic, new) battling Zaku II (Char's red custom). Composition: Dynamic action shot of the first MS combat."
"ガルマ・ザビ戦死",79,10,4,21,"10月4日、ホワイトベースを追撃していたジオン軍のガルマ・ザビ大佐が、北米ニューヨークでの戦闘中にシャア・アズナブルの策略により戦死する。","No (21)","Character: Garma Zabi (young, aristocratic, commanding). Scene: Urban battlefield on Earth, damaged buildings. Atmosphere: Betrayal, death of a leader. Vehicles: Garma's Gaw attack carrier or mobile armor being destroyed, Char's Zaku observing from a distance. Composition: Dramatic shot of the explosion with Char in the background."
"ガルマ国葬とギレン演説",79,10,6,22,"10月6日、サイド3のズム・シティでガルマ・ザビの国葬が行われる。兄であるギレン・ザビ総帥は地球圏全体に向けて扇動的な演説を行う。","No (22)","Character: Gihren Zabi (commanding, intense expression, in uniform). Scene: Grand ceremonial space in Side 3, crowd of Zeon soldiers. Atmosphere: Propaganda, nationalistic fervor, mourning mixed with resolve. Composition: Close-up on Gihren delivering his speech."
"オデッサ作戦",79,11,7,23,"11月7日、地球連邦軍はヨーロッパのオデッサ鉄鉱山地帯を解放するため、大規模な反攻作戦「オデッサ作戦」を開始。激戦の末、連邦軍が勝利し、ジオン軍のマ・クベ少佐は宇宙へ脱出する。","No (23)","Scene: Vast battlefield in a mountainous or industrial area on Earth. Atmosphere: Large-scale military operation, turning point. Vehicles: Numerous Earth Federation and Zeon ground forces and mobile suits clashing. Composition: Aerial or wide shot showing the scale of the battle."
"ジャブロー防衛戦",79,11,30,24,"11月30日、ジオン軍は南米にある地球連邦軍総司令部ジャブローへの総攻撃を試みるが、堅固な防衛線の前に失敗する。","No (24)","Scene: Large underground military base, jungle environment on the surface. Atmosphere: Defense, strategic failure. Vehicles: Zeon amphibious mobile suits attacking, Federation defenses repelling them. Composition: Shot showing the entrance to the base under attack."
"ソロモン攻略戦（チェンバロ作戦）",79,12,24,25,"12月24日、地球連邦軍は宇宙要塞ソロモン攻略のための「チェンバロ作戦」を開始。新兵器ソーラーシステムを投入し、ソロモンを陥落させる。ジオン軍のドズル・ザビ中将は戦死する。","No (25)","Character: Dozle Zabi (fierce, defiant, in mobile armor). Scene: Space battle around Solomon fortress. Atmosphere: Fierce resistance, overwhelming power, tragedy. Vehicles: Solomon fortress being destroyed, Earth Federation fleet, Dozle's Big Zam. Other: The massive Solar System weapon activating. Composition: Dramatic shot of Big Zam's last stand or the Solar System firing."
"クリスマス作戦",79,12,25,26,"12月25日、サイド6のリボーコロニーで、ジオン軍のバーナード・ワイズマン伍長が連邦軍のガンダムNT-1（アレックス）と交戦。ガンダムを大破させるも自身は戦死する。","No (26)","Character: Bernard Wiseman (young, determined, in Zeon pilot suit). Scene: Snowy street within a Side 6 colony. Atmosphere: Urban combat, personal sacrifice, Christmas setting contrast. Vehicles: Zaku II FZ battling Gundam NT-1. Composition: Ground-level shot showing mobile suits fighting between buildings, snow falling."
"星一号作戦開始",79,12,29,27,"12月29日、地球連邦軍は一年戦争を終結させるための最終攻勢「星一号作戦」を開始。ジオン本国及び残存戦力の撃破を目指す。","No (27)","Scene: Massive Earth Federation fleet advancing through space. Atmosphere: Final push, anticipation of the war's end. Vehicles: Numerous Salamis and Magellan class warships. Composition: Wide shot showing the scale of the fleet movement."
"ソーラーレイ発射とデギン・レビル戦死",79,12,30,28,"12月30日、ジオン軍は要塞型兵器ソーラーレイを発射し、ア・バオア・クー付近の連邦艦隊に壊滅的打撃を与える。和平交渉に向かっていたデギン・ソド・ザビ公王とレビル将軍は、このソーラーレイに巻き込まれ死亡する。","No (28)","Character: Degwin Sodo Zabi (old, weary), Revil (middle-aged, formal). Scene: Space, near the Solar Ray weapon, or within a small vessel caught in the beam. Atmosphere: Ultimate weapon, tragic irony, loss of key figures. Other: The immense beam of the Solar Ray firing. Composition: Dramatic shot of the Solar Ray's impact, possibly showing the small negotiation vessel."
"ア・バオア・クー攻防戦と一年戦争終結",79,12,31,29,"12月31日、一年戦争最後の主要な戦闘となるア・バオア・クー攻防戦が行われる。激戦の末、連邦軍がア・バオア・クーを制圧。ギレン・ザビとキシリア・ザビが戦死し、ジオン公国は事実上崩壊。ホワイトベースも撃沈される。","No (29)","Character: Gihren Zabi (dead), Kycilia Zabi (dead), Amuro Ray, Char Aznable. Scene: Battle inside and around the A Baoa Qu fortress. Atmosphere: Climax of the war, chaos, high casualties, final duels. Vehicles: Numerous mobile suits and warships from both sides fighting intensely, A Baoa Qu being destroyed, White Base sinking. Composition: Complex battle scene showing key moments like the internal conflicts within Zeon or iconic mobile suit duels."
"一年戦争終結協定締結",80,1,1,30,"UC0080年1月1日、サイド6の仲介により、月面のグラナダ基地で地球連邦政府とジオン共和国（ダルシア政権）の間で停戦協定が締結され、一年戦争が正式に終結する。","No (30)","Scene: Formal signing ceremony in a conference room on the moon base Granada. Atmosphere: Peace, resolution, but underlying tension. Composition: Shot showing representatives from both the Earth Federation and the Republic of Zeon signing documents."
"アクシズへの脱出",80,1,1,31,"一年戦争終結後、マハラジャ・カーンやミネバ・ザビを含むジオン軍残党は、小惑星基地アクシズへ向けて地球圏を離れる。これは将来の紛争の火種となる。","No (31)","Character: Mineva Zabi (child, protected). Scene: Space, fleet of Zeon remnant ships moving away from Earth. Atmosphere: Exodus, carrying on the legacy of Zeon. Vehicles: Zeon warships heading towards a distant asteroid (Axis). Composition: Shot from behind the fleet, showing Earth receding in the distance."
"グリプス計画開始",81,3,28,32,"UC0081年3月28日、地球連邦軍は極秘裏に高性能モビルスーツ開発のための「グリプス計画」を開始する。これはジオン残党や潜在的な脅威への対応を目的とする。","No (32)","Scene: Secret laboratory or design facility. Atmosphere: Post-war development, continued military buildup. Other: Blueprints or early models of advanced mobile suits (e.g., RX-178 Gundam Mk-II). Composition: Scene showing researchers or engineers working on advanced technology."
"デラーズ紛争勃発（星の屑作戦）",83,10,13,33,"UC0083年10月13日、ジオン軍残党のデラーズ・フリートが「星の屑作戦」を開始。アナベル・ガトー少佐が連邦軍トリントン基地から核弾頭を搭載したガンダム試作2号機を強奪する。連邦軍のコウ・ウラキ少尉らが奪還のため追撃を開始。","No (33)","Character: Anavel Gato (determined, imposing, in Zeon pilot suit), Kou Uraki (young, novice, in Federation pilot suit). Scene: Federation base under attack, desert environment. Atmosphere: Surprise attack, beginning of a conflict, theft of a powerful weapon. Vehicles: RX-78GP02A Gundam (nuclear equipped, menacing) escaping, RX-78GP01 Gundam (new, heroic looking) scrambling. Composition: Dynamic shot of GP02 escaping and GP01 pursuing."
"連邦軍観艦式への核攻撃",83,11,10,34,"11月10日、アナベル・ガトーは連邦軍の観艦式を襲撃し、強奪したガンダム試作2号機の核弾頭を発射。連邦艦隊に壊滅的被害を与える。","No (34)","Character: Anavel Gato (fierce determination). Scene: Vast fleet of Earth Federation ships assembled in space. Atmosphere: Shock, devastation, horror of nuclear warfare. Vehicles: RX-78GP02A Gundam firing its nuclear weapon, numerous warships exploding or damaged. Composition: Wide shot showing the scale of the fleet and the devastating impact of the nuclear attack."
"コロニー落としとデラーズ紛争終結",83,11,11,35,"11月11日、デラーズ・フリートは強奪したスペースコロニーを地球への落下コースに乗せる。連邦軍はソーラーシステムIIで迎撃を試みるが、コロニーは北米に激突。デラーズ・フリートは全滅し、エイパー・シナプス提督、アナベル・ガトー少佐らは戦死する。この事件は隠蔽される。","No (35)","Character: Anavel Gato (final moments), Aiper Synapse (resigned or determined). Scene: Space, a large space colony descending towards Earth, Earth in the background. Atmosphere: Desperation, sacrifice, massive destruction. Vehicles: The falling colony, Earth Federation ships, RX-78GP03 Dendrobium battling Axis mobile armor Neue Ziel. Composition: Dramatic shot of the colony's descent or the final battle near it."
"ティターンズ結成",83,12,4,36,"12月4日、ジャミトフ・ハイマンの提唱により、地球連邦軍は地球圏の治安維持を名目とした特務部隊「ティターンズ」を結成。旧ジオン軍残党狩りを激化させる。","No (36)","Character: Jamitov Hymem (stern, authoritative). Scene: Steril military briefing room or headquarters. Atmosphere: Formation of an oppressive force, increased control. Other: The logo or emblem of the Titans. Composition: Medium shot of Jamitov with symbols of military power or oppression."
"30バンチ事件",85,7,31,37,"UC0085年7月31日、ティターンズは反連邦の動きを抑え込むため、サイド1の30バンチコロニーに毒ガスを注入し、住民を虐殺する。これにより反地球連邦組織「A.E.U.G.（エゥーゴ）」が活発化する。","No (37)","Scene: Interior of a space colony, empty streets or buildings. Atmosphere: Horror, tragedy, senseless violence. Other: Gas spreading through the colony streets, symbol of the Titans in the background. Composition: Eerie, desolate shot emphasizing the emptiness and the unseen threat."
"グリプス戦役勃発",87,3,2,38,"UC0087年3月2日、反地球連邦組織A.E.U.G.は、カミーユ・ビダンの協力を得て、サイド7のグリプス1からティターンズの試作モビルスーツ、ガンダムMk-II 3機を強奪。これを機に地球連邦軍（ティターンズ）とA.E.U.G.の間でグリプス戦役が始まる。","No (38)","Character: Kamille Bidan (young, confused but capable, civilian clothes), Char Aznable / Quattro Bajeena (masked, in AEUG uniform). Scene: Colony interior, hangar or testing area. Atmosphere: Catalyst for war, unexpected events. Vehicles: RX-178 Gundam Mk-II (new, powerful) being stolen by AEUG forces. Composition: Action shot showing the Gundam Mk-IIs being taken, with key characters involved."
"アクシズの地球圏帰還",87,0,0,39,"UC0087年頃、ハマーン・カーン率いるジオン軍残党の勢力「アクシズ」が地球圏に帰還。グリプス戦役において、当初はティターンズと、後にA.E.U.G.と複雑な駆け引きを行う。","No (39)","Character: Haman Karn (regal, cold, in Neo Zeon uniform). Scene: Massive asteroid base (Axis) arriving in Earth Sphere space. Atmosphere: Return of an old enemy, new threat. Vehicles: Numerous distinctive Axis/Neo Zeon warships emerging from interstellar space. Composition: Imposing shot of the Axis base arriving, with Haman Karn overseeing it."
"コロニーレーザーによるコロニー破壊",87,0,0,40,"グリプス戦役中、ティターンズはグリプス2をコロニーレーザーとして使用し、サイド2の18バンチ・コロニーを破壊するという非人道的な行為を行う。","No (40)","Scene: Space, a space colony being hit and destroyed by a massive beam. Atmosphere: Horror, atrocity, sheer destructive power. Other: The beam of the colony laser firing from a distance. Composition: Dramatic, terrifying shot of the colony's destruction."
"グリプス戦役終結とシロッコ・ハマーン・クワトロの対決",88,0,0,41,"UC0088年1月から4月にかけて、グリプス戦役は終結へ向かう。最終局面ではA.E.U.G.、ティターンズ（パプテマス・シロッコ）、アクシズ（ハマーン・カーン）の三つ巴の激戦となる。シロッコは戦死、クワトロ（シャア）は行方不明、カミーユは精神崩壊する。ティターンズは壊滅状態となる。","No (41)","Character: Paptimus Scirocco (charismatic, dangerous), Haman Karn (intense, powerful), Quattro Bajeena / Char Aznable (resolved, charismatic). Scene: Space battlefield, debris, ruined ships. Atmosphere: Climax, multiple factions clashing, high stakes. Vehicles: The mobile suits used by the key characters (The O, Qubeley, Hyaku Shiki) in a complex battle or standoff. Composition: Shot depicting the chaotic multi-way battle or key duels."
"第一次ネオ・ジオン抗争（ハマーン戦争）開始",88,0,0,42,"グリプス戦役終結後、アクシズは「ネオ・ジオン」と名を改め、ジオンの復活を宣言。各サイドに鎮圧部隊を派遣し、地球連邦政府及びA.E.U.G.との間で「第一次ネオ・ジオン抗争」（ハマーン戦争）が勃発する。ジュドー・アーシタらがアーガマに乗艦し、ZZガンダムを稼働させる。","No (42)","Character: Haman Karn (leading), Judau Ashta (young, energetic, in civilian clothes or pilot suit). Scene: Space, a fleet of Neo Zeon ships asserting dominance over space colonies. Atmosphere: New conflict, rise of a new generation. Vehicles: Neo Zeon mobile suits (e.g., Qubeley) and warships, AEUG ship Argama, ZZ Gundam being launched. Composition: Shot showing the imposing Neo Zeon fleet and the emergence of the ZZ Gundam."
"ダブリンへのコロニー落とし",88,0,0,43,"第一次ネオ・ジオン抗争中、ハマーン率いるネオ・ジオン軍は地球への侵攻を本格化させ、アイルランドのダブリン市にスペースコロニーを落下させるという、一年戦争以来の非道な作戦を実行する。","No (43)","Scene: Earth, city of Dublin under attack, a space colony descending from the sky. Atmosphere: Recurrence of horror, civilian casualties, devastation. Composition: Dramatic shot of the colony falling towards the city."
"グレミーの反乱",88,0,0,44,"第一次ネオ・ジオン抗争の後半、ネオ・ジオン内部でグレミー・トトが反乱を起こし、アクシズを占領。ハマーン・カーンとの間で内部抗争が発生する。","No (44)","Character: Glemmy Toto (young, ambitious, commanding), Haman Karn (furious, betrayed). Scene: Inside the Axis base or on the bridge of a Neo Zeon ship during a confrontation. Atmosphere: Internal conflict, power struggle within Neo Zeon. Vehicles: Neo Zeon mobile suits and ships fighting each other. Composition: Shot showing the split within the Neo Zeon forces."
"第一次ネオ・ジオン抗争終結",89,1,0,45,"UC0089年1月、グレミーの反乱軍は鎮圧されるが、ジュドー・アーシタのZZガンダムとの最終決戦でハマーン・カーンは戦死し、ミネバ・ザビは行方不明となる。これにより第一次ネオ・ジオン抗争は終結する。","No (45)","Character: Judau Ashta (determined), Haman Karn (defeated but resolute), Mineva Zabi (young, lost). Scene: Space battlefield near Axis or Core 3. Atmosphere: Climax, end of a war, personal fates decided. Vehicles: ZZ Gundam and Haman's Qubeley in their final battle. Composition: Iconic shot of the duel between Judau and Haman."
"第二次ネオ・ジオン抗争への序曲",92,12,22,46,"UC0092年12月22日、グリプス戦役で行方不明となっていたシャア・アズナブルがネオ・ジオンの指導者として再び姿を現し、スウィート・ウォーターを占拠。地球連邦は対抗するため、ロンド・ベル部隊を増強する。","No (46)","Character: Char Aznable (charismatic, adult, in Neo Zeon uniform). Scene: Space colony (Sweetwater), public address or appearance. Atmosphere: Return of a legendary figure, beginning of a new threat. Vehicles: Neo Zeon mobile suits deployed around the colony. Composition: Shot focusing on Char making his declaration."
"第二次ネオ・ジオン抗争（シャアの反乱）勃発",93,2,27,47,"UC0093年2月27日、ネオ・ジオン指導者となったシャア・アズナブルはインタビュー番組で地球連邦政府への宣戦を布告。地球環境再生を名目に、人類を宇宙へ強制移民させるための過激な作戦を開始する。","No (47)","Character: Char Aznable (speaking, intense expression). Scene: Studio setting for a broadcast, or viewing screens showing the broadcast. Atmosphere: Public declaration of war, shocking reveal of intentions. Composition: Close-up on Char's face as he delivers his message."
"フィフス・ルナ落下",93,3,4,48,"3月4日、ネオ・ジオン軍は小惑星フィフス・ルナをチベットのラサに落下させる。これは地球連邦政府を威圧し、作戦の遂行を既成事実化するための行動。","No (48)","Scene: Earth, city of Lhasa or the surrounding mountainous area, a small asteroid descending. Atmosphere: Terror tactic, demonstration of destructive capability. Composition: Dramatic shot of the asteroid entering the atmosphere over the Himalayas."
"アクシズ落下作戦とアクシズ・ショック",93,3,12,49,"3月12日、シャアは小惑星アクシズを地球に落下させ、地球を寒冷化させる作戦を実行。アムロ・レイはνガンダムでこれを阻止しようとする。アクシズは一旦分断されるものの落下を止められなかったが、アムロやシャア、多くのニュータイプの思念が共振した「アクシズ・ショック」と呼ばれる現象により、アクシズは軌道を逸れ、地球への落下は阻止される。シャアとアムロは行方不明となる。第二次ネオ・ジオン抗争終結。","No (49)","Character: Amuro Ray (determined, piloting), Char Aznable (conflicted, piloting). Scene: Space, the massive Axis asteroid breaking apart near Earth. Atmosphere: Climax of rivalry, miraculous event, hope and sacrifice. Vehicles: RX-93 ν Gundam struggling to push Axis, Sazabi. Other: Psyco-Frame resonance represented as a powerful light or aura. Composition: Iconic shot of the ν Gundam pushing against Axis, surrounded by light."
"ラプラス事件の真相",96,0,0,50,"UC0096年、宇宙世紀の始まりであるUC0001年に発生したラプラス事件の真相が明らかになる出来事（『機動戦士ガンダムUC』の物語）が発生する。これにより、「ラプラスの箱」を巡る争いが起きる。","No (50)","Character: Banagher Links (young, innocent but determined), Audrey Burne / Mineva Zabi (mysterious, regal). Scene: Space or colony interior, related to the Laplace box or the original Laplace ruins. Atmosphere: Unveiling truth, mystery, destiny. Vehicles: RX-0 Unicorn Gundam (iconic, white). Composition: Shot related to the discovery or activation of the Laplace's Box."
"不死鳥狩り事件",97,0,0,51,"UC0097年、行方不明となったユニコーンガンダム3号機「フェネクス」を巡る「不死鳥狩り」と呼ばれる事件が発生する。これは『機動戦士ガンダムＮＴ』で描かれる出来事。","No (51)","Character: Jona Basta (determined), Michele Luio (ambitious), Rita Bernal (mysterious). Scene: Space, deep space or specific anomaly. Atmosphere: Pursuit, mystery, connection to Newtypes. Vehicles: RX-0 Unicorn Gundam 03 Phenex (golden, enigmatic), Narrative Gundam. Composition: Shot depicting the Phenex in space, being pursued."
"宇宙世紀の区切り",100,0,0,52,"UC0100年、連邦軍はジオン共和国による自治権放棄をもって紛争終結を宣言する。これはUC0001から続いた一つの時代の区切りとされる。","No (52)","Scene: Formal setting, possibly in Side 3 or on Earth. Atmosphere: Symbolic end, transition to a new era, political shift. Composition: Shot showing the signing or declaration related to the relinquishment of autonomy."
